time,distance,elevation,pace,heartrate,cadence
25:44,"5,1 km",39 m,5:15/km,131 bpm,174 ppm
25:50,"5,1 km",38 m,5:16/km,131 bpm,174 ppm
25:58,"5,1 km",38 m,5:20/km,130 bpm,174 ppm
26:05,"5,2 km",37 m,5:34/km,130 bpm,174 ppm
26:13,"5,2 km",37 m,5:49/km,128 bpm,174 ppm
26:21,"5,2 km",38 m,5:29/km,129 bpm,174 ppm
26:30,"5,2 km",38 m,5:04/km,130 bpm,174 ppm
26:36,"5,3 km",39 m,4:47/km,129 bpm,174 ppm
26:42,"5,3 km",38 m,4:27/km,127 bpm,176 ppm
26:47,"5,3 km",38 m,4:21/km,126 bpm,174 ppm
26:54,"5,3 km",39 m,4:33/km,126 bpm,174 ppm
27:00,"5,4 km",39 m,4:47/km,129 bpm,178 ppm
27:07,"5,4 km",39 m,4:55/km,133 bpm,174 ppm
27:14,"5,4 km",38 m,4:54/km,133 bpm,174 ppm
27:21,"5,4 km",38 m,4:59/km,135 bpm,178 ppm
27:27,"5,4 km",39 m,4:58/km,135 bpm,176 ppm
27:34,"5,5 km",39 m,4:54/km,134 bpm,178 ppm
27:41,"5,5 km",40 m,4:59/km,134 bpm,174 ppm
27:47,"5,5 km",40 m,4:58/km,131 bpm,174 ppm
27:54,"5,5 km",41 m,4:57/km,133 bpm,178 ppm
28:01,"5,6 km",42 m,5:02/km,136 bpm,178 ppm
28:08,"5,6 km",42 m,5:03/km,136 bpm,178 ppm
28:15,"5,6 km",42 m,5:07/km,135 bpm,174 ppm
28:22,"5,6 km",43 m,5:05/km,136 bpm,174 ppm
28:29,"5,6 km",43 m,5:03/km,135 bpm,178 ppm
28:36,"5,7 km",43 m,5:05/km,137 bpm,178 ppm
28:43,"5,7 km",44 m,5:11/km,140 bpm,176 ppm
28:50,"5,7 km",44 m,5:09/km,142 bpm,176 ppm
28:57,"5,7 km",44 m,5:14/km,140 bpm,178 ppm
29:04,"5,8 km",44 m,5:20/km,139 bpm,174 ppm
29:11,"5,8 km",44 m,5:16/km,139 bpm,174 ppm
29:19,"5,8 km",44 m,5:33/km,138 bpm,174 ppm
29:26,"5,8 km",45 m,5:17/km,136 bpm,174 ppm
29:35,"5,9 km",44 m,5:12/km,134 bpm,172 ppm
29:41,"5,9 km",44 m,5:12/km,136 bpm,172 ppm
29:47,"5,9 km",44 m,4:58/km,136 bpm,172 ppm
29:54,"5,9 km",44 m,4:59/km,134 bpm,172 ppm
30:02,"5,9 km",44 m,5:09/km,130 bpm,172 ppm
30:09,"6,0 km",44 m,5:10/km,127 bpm,172 ppm
30:15,"6,0 km",44 m,5:03/km,127 bpm,172 ppm
30:23,"6,0 km",44 m,5:03/km,127 bpm,170 ppm
