time,distance,elevation,pace,heartrate,cadence
48:02,"8,6 km",4 m,4:50/km,114 bpm,170 ppm
48:13,"8,7 km",4 m,5:08/km,114 bpm,170 ppm
48:25,"8,7 km",4 m,5:06/km,116 bpm,172 ppm
48:36,"8,7 km",3 m,5:08/km,116 bpm,170 ppm
48:47,"8,8 km",3 m,4:54/km,108 bpm,170 ppm
48:57,"8,8 km",3 m,5:00/km,104 bpm,172 ppm
49:08,"8,8 km",4 m,5:08/km,109 bpm,172 ppm
49:20,"8,9 km",5 m,5:06/km,112 bpm,170 ppm
49:30,"8,9 km",5 m,5:02/km,117 bpm,172 ppm
49:42,"9,0 km",4 m,4:48/km,116 bpm,172 ppm
49:51,"9,0 km",4 m,4:42/km,115 bpm,174 ppm
50:01,"9,0 km",4 m,5:01/km,115 bpm,174 ppm
50:14,"9,1 km",3 m,5:01/km,112 bpm,172 ppm
50:24,"9,1 km",3 m,4:55/km,110 bpm,172 ppm
50:34,"9,1 km",3 m,4:47/km,113 bpm,172 ppm
50:45,"9,2 km",3 m,4:54/km,119 bpm,172 ppm
50:55,"9,2 km",4 m,4:58/km,119 bpm,172 ppm
51:07,"9,2 km",5 m,5:20/km,121 bpm,172 ppm
51:18,"9,3 km",5 m,5:09/km,122 bpm,172 ppm
51:29,"9,3 km",4 m,5:03/km,122 bpm,172 ppm
51:39,"9,3 km",4 m,4:45/km,125 bpm,172 ppm
51:49,"9,4 km",4 m,5:03/km,118 bpm,172 ppm
52:02,"9,4 km",3 m,5:13/km,115 bpm,170 ppm
52:12,"9,5 km",3 m,4:50/km,116 bpm,176 ppm
52:23,"9,5 km",3 m,4:52/km,116 bpm,174 ppm
52:33,"9,5 km",3 m,5:00/km,117 bpm,174 ppm
52:45,"9,6 km",5 m,5:02/km,112 bpm,174 ppm
